风机名,状态码值,状态码描述,激活时间,复位时间,label
,30143,变流器测得发电机并网转速低, 2019-04-07 16:50:59:439, 2019-04-07 16:51:09:139,3
,30001,变流器测得的发电机超速, 2019-04-11 19:48:10:595, 2019-04-11 19:48:35:595,3
,30143,变流器测得发电机并网转速低, 2019-04-13 02:47:10:871, 2019-04-13 02:47:20:611,3
,30143,变流器测得发电机并网转速低, 2019-04-30 22:31:00:474, 2019-04-30 22:31:10:194,3
,30143,变流器测得发电机并网转速低, 2019-05-05 00:30:44:453, 2019-05-05 00:30:53:873,3
,30143,变流器测得发电机并网转速低, 2019-05-09 00:53:11:768, 2019-05-09 00:53:21:228,3
,30001,变流器测得的发电机超速, 2019-05-10 19:53:12:461, 2019-05-10 19:53:37:461,3
,30143,变流器测得发电机并网转速低, 2019-05-16 21:42:58:794, 2019-05-16 21:43:08:474,3
,30001,变流器测得的发电机超速, 2019-05-17 11:03:01:080, 2019-05-17 11:03:26:080,3
,300114,变桨系统轴1电容柜欠电压, 2019-05-17 18:36:53:080, 2019-05-17 18:41:00:000,10
,30143,变流器测得发电机并网转速低, 2019-05-19 17:11:27:205, 2019-05-19 17:11:37:025,3
,80001,齿轮箱低速轴温度超限, 2019-06-10 22:07:01:921, 2019-06-10 22:17:08:421,8
,30143,变流器测得发电机并网转速低, 2019-06-15 13:26:29:167, 2019-06-15 13:26:38:927,3
,30071,变频器RS232通讯中断, 2019-06-24 14:05:56:872, 2019-06-24 14:17:59:052,3
,30071,变频器RS232通讯中断, 2019-06-24 17:09:52:382, 2019-06-24 19:10:04:832,3
,30153,熔断器电压检测开关故障, 2019-06-24 19:22:31:349, 2019-06-24 19:22:40:969,3
,900201, 机舱DI9371-01模块故障, 2019-07-13 00:28:37:046, 2019-07-13 09:19:23:737,10
,30071,变频器RS232通讯中断, 2019-09-02 08:50:13:272, 2019-09-02 09:00:12:852,3
,30071,变频器RS232通讯中断, 2019-09-05 12:03:28:344, 2019-09-05 12:05:06:664,3
,30071,变频器RS232通讯中断, 2019-09-06 18:19:20:678, 2019-09-06 18:59:38:335,3
,30001,变流器测得的发电机超速, 2019-09-21 00:07:57:956, 2019-09-21 00:08:22:956,3
,800020,变桨系统紧停动作, 2019-09-21 00:08:32:116, 2019-09-21 00:09:18:256,10
,30143,变流器测得发电机并网转速低, 2019-09-21 16:20:05:181, 2019-09-21 16:20:14:821,3
,30143,变流器测得发电机并网转速低, 2019-09-21 16:26:33:261, 2019-09-21 16:26:33:361,3
,20011,切入故障, 2019-09-23 18:36:23:681, 2019-09-23 18:40:23:200,2
,30143,变流器测得发电机并网转速低, 2019-09-24 22:42:03:547, 2019-09-24 22:42:13:387,3
,60006,偏航齿轮润滑, 2019-10-03 15:24:06:008, 2019-10-03 15:33:12:970,6
,60010,偏航速度过低, 2019-10-05 00:25:30:961, 2019-10-05 00:25:30:981,6
,30143,变流器测得发电机并网转速低, 2019-10-05 06:14:29:903, 2019-10-05 06:14:30:003,3
,100113,电网C相电压高于上限值, 2019-10-05 19:54:19:078, 2019-10-05 19:57:21:178,10
,100113,电网C相电压高于上限值, 2019-10-05 20:32:03:914, 2019-10-05 20:35:03:934,10
,100113,电网C相电压高于上限值, 2019-10-05 21:16:26:429, 2019-10-05 21:19:26:449,10
,910006,SCADA停止按钮激活, 2019-10-05 21:44:02:946, 2019-10-05 23:59:52:857,10
,60004,自动解缆, 2019-10-10 15:20:26:576, 2019-10-10 15:37:06:503,6
,30143,变流器测得发电机并网转速低, 2019-10-12 18:42:19:631, 2019-10-12 18:42:29:391,3
,30143,变流器测得发电机并网转速低, 2019-10-12 19:05:51:542, 2019-10-12 19:05:51:642,3
,910000,塔底停止按钮激活, 2019-10-13 09:16:09:290, 2019-10-13 15:09:12:474,10
,30155,冷却水泵故障, 2019-10-13 11:11:39:257, 2019-10-13 11:11:48:777,3
,900201, 机舱DI9371-01模块故障, 2019-10-13 14:18:02:949, 2019-10-13 15:09:12:473,10
,30155,冷却水泵故障, 2019-10-13 15:09:12:492, 2019-10-13 15:09:12:552,3
,80030,齿轮箱油位过低, 2019-10-13 15:13:06:097, 2019-10-13 15:13:17:897,8
,800020,变桨系统紧停动作, 2019-10-13 15:33:02:267, 2019-10-13 16:29:03:492,10
,301509,P2驱动器故障, 2019-10-13 16:08:21:742, 2019-10-13 16:29:02:772,10
,80080,齿轮箱冷却水泵保护, 2019-10-13 17:30:18:674, 2019-10-13 17:44:17:764,8
,910000,塔底停止按钮激活, 2019-10-14 09:40:27:713, 2019-10-14 09:49:13:360,10
,60006,偏航齿轮润滑, 2019-10-20 15:36:16:040, 2019-10-20 15:45:23:540,6
,910006,SCADA停止按钮激活, 2019-10-24 23:32:37:624, 2019-10-25 09:07:45:690,10
,100113,电网C相电压高于上限值, 2019-10-25 19:32:06:857, 2019-10-25 19:35:08:978,10
,30143,变流器测得发电机并网转速低, 2019-10-26 22:59:21:360, 2019-10-26 22:59:30:760,3
,30143,变流器测得发电机并网转速低, 2019-10-27 06:52:06:058, 2019-10-27 06:52:06:118,3
,30143,变流器测得发电机并网转速低, 2019-11-02 14:20:01:489, 2019-11-02 14:20:11:089,3
,30143,变流器测得发电机并网转速低, 2019-11-02 14:37:04:149, 2019-11-02 14:37:04:209,3
,60006,偏航齿轮润滑, 2019-11-06 20:45:29:296, 2019-11-06 20:54:27:616,6
,30143,变流器测得发电机并网转速低, 2019-11-07 13:46:35:502, 2019-11-07 13:46:45:302,3
,30143,变流器测得发电机并网转速低, 2019-11-09 15:13:15:819, 2019-11-09 15:13:25:619,3
,910000,塔底停止按钮激活, 2019-11-11 09:47:53:021, 2019-11-11 12:45:09:268,10
,170102,暴风, 2019-11-13 07:30:55:554, 2019-11-13 07:44:01:974,10
,30143,变流器测得发电机并网转速低, 2019-11-17 00:54:41:996, 2019-11-17 00:54:51:516,3
,170102,暴风, 2019-11-17 15:02:53:843, 2019-11-17 15:09:59:803,10
,170102,暴风, 2019-11-17 15:16:27:943, 2019-11-17 15:21:29:783,10
,170102,暴风, 2019-11-17 16:46:17:076, 2019-11-17 16:51:20:016,10
,170102,暴风, 2019-11-17 20:00:19:216, 2019-11-17 20:10:48:316,10
,60006,偏航齿轮润滑, 2019-11-21 13:27:40:483, 2019-11-21 13:36:40:843,6
,30143,变流器测得发电机并网转速低, 2019-11-23 14:58:22:120, 2019-11-23 14:58:31:560,3
,30143,变流器测得发电机并网转速低, 2019-11-23 16:23:01:232, 2019-11-23 16:23:01:332,3
,60004,自动解缆, 2019-11-24 03:15:56:309, 2019-11-24 03:32:02:409,6
,170102,暴风, 2019-11-24 11:52:34:589, 2019-11-24 11:57:51:946,10
,170102,暴风, 2019-11-24 12:12:38:482, 2019-11-24 12:17:38:742,10
,170102,暴风, 2019-11-24 13:22:20:899, 2019-11-24 13:35:29:759,10
,170102,暴风, 2019-11-24 14:53:40:272, 2019-11-24 14:58:54:929,10
,170102,暴风, 2019-11-24 15:06:16:669, 2019-11-24 15:11:19:349,10
,170102,暴风, 2019-11-24 15:46:40:006, 2019-11-24 15:51:45:346,10
,170102,暴风, 2019-11-24 16:28:39:926, 2019-11-24 16:37:45:462,10
,170102,暴风, 2019-11-24 16:39:17:802, 2019-11-24 18:38:47:172,10
,170102,暴风, 2019-11-24 20:15:53:203, 2019-11-24 20:20:56:603,10
,170102,暴风, 2019-11-24 23:47:53:647, 2019-11-24 23:52:59:547,10
,170102,暴风, 2019-11-25 04:05:04:426, 2019-11-25 04:15:25:686,10
,170102,暴风, 2019-11-25 04:39:52:263, 2019-11-25 04:44:52:883,10
,20011,切入故障, 2019-12-02 05:20:18:031, 2019-12-02 07:09:26:701,2
,30143,变流器测得发电机并网转速低, 2019-12-02 11:59:54:801, 2019-12-02 12:00:04:221,3
,30143,变流器测得发电机并网转速低, 2019-12-02 12:04:48:261, 2019-12-02 12:04:48:361,3
,20011,切入故障, 2019-12-02 15:53:01:758, 2019-12-02 15:59:45:558,2
,20011,切入故障, 2019-12-02 20:40:57:395, 2019-12-02 20:45:09:515,2
,910000,塔底停止按钮激活, 2019-12-04 09:52:35:388, 2019-12-04 12:10:39:218,10
,80072,齿轮箱润滑油泵马达保护, 2019-12-04 10:17:46:605, 2019-12-04 12:10:39:218,8
,80030,齿轮箱油位过低, 2019-12-04 11:20:25:238, 2019-12-04 11:44:33:458,9
,30143,变流器测得发电机并网转速低, 2019-12-05 13:19:26:885, 2019-12-05 13:19:36:605,3
,30143,变流器测得发电机并网转速低, 2019-12-05 14:19:18:518, 2019-12-05 14:19:18:638,3
,30001,变流器测得的发电机超速, 2019-12-08 13:59:23:360, 2019-12-08 13:59:48:360,3
,70070,发电机电刷故障, 2019-12-12 04:12:05:987, 2019-12-12 08:58:17:343,7
,80072,齿轮箱润滑油泵马达保护, 2019-12-12 09:53:44:317, 2019-12-12 09:53:48:797,8
,110101,塔底柜子温度超限, 2019-12-28 16:05:08:823, 2019-12-28 16:15:09:263,10
